Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-06-02,10.602,10.602,10.602,10.602,577707
1998-06-03,11.648,11.648,11.648,11.648,221464
1998-06-04,12.694,12.694,12.694,12.694,655891
1998-06-05,12.847,12.847,12.847,12.847,252087
1998-06-08,12.794,12.794,12.794,12.794,141804
1998-06-09,12.271,12.271,12.271,12.271,97949
1998-06-10,11.279,11.279,11.279,11.279,195688
1998-06-15,10.602,10.602,10.602,10.602,323545
1998-06-16,10.97,10.97,10.97,10.97,267644
1998-06-17,12.011,12.011,12.011,12.011,164694
1998-06-18,12.218,12.218,12.218,12.218,142440
1998-06-19,12.116,12.116,12.116,12.116,194825
1998-06-22,12.432,12.432,12.432,12.432,278840
1998-06-23,12.794,12.794,12.794,12.794,267915
1998-06-24,12.794,12.794,12.794,12.794,95250
1998-06-25,12.794,12.794,12.794,12.794,108758
1998-06-26,13.21,13.21,13.21,13.21,395672
1998-06-29,13.473,13.473,13.473,13.473,180035
1998-06-30,13.579,13.579,13.579,13.579,161317
1998-07-01,14.257,14.257,14.257,14.257,209409
1998-07-02,14.518,14.518,14.518,14.518,177731
1998-07-03,14.886,14.886,14.886,14.886,186868
1998-07-06,15.405,15.405,15.405,15.405,213830
1998-07-07,15.826,15.826,15.826,15.826,413628
1998-07-08,15.665,15.665,15.665,15.665,128718
1998-07-09,14.886,14.886,14.886,14.886,287402
1998-07-10,14.886,14.886,14.886,14.886,124731
1998-07-13,15.927,15.927,15.927,15.927,51166
1998-07-14,17.128,17.128,17.128,17.128,254843
1998-07-15,17.128,17.128,17.128,17.128,153482
1998-07-16,16.971,16.971,16.971,16.971,98113
1998-07-17,17.389,17.389,17.389,17.389,170134
1998-07-20,16.971,18.173,16.971,18.018,150358
1998-07-21,18.173,18.173,17.65,17.757,219687
1998-07-22,17.389,17.389,16.971,17.128,185792
1998-07-23,17.235,18.173,17.235,17.912,170694
1998-07-24,17.495,18.018,17.495,17.757,159181
1998-07-27,17.65,17.65,16.711,16.871,143217
1998-07-28,16.971,16.971,16.45,16.611,204175
1998-07-29,16.189,16.611,15.826,16.611,225425
1998-07-30,16.711,17.128,16.45,16.611,110861
1998-07-31,17.128,17.128,16.711,16.871,119083
1998-08-03,16.45,16.711,16.347,16.611,371839
1998-08-04,16.711,17.495,16.711,17.495,133032
1998-08-05,16.971,17.495,16.971,17.235,194084
1998-08-06,17.757,18.173,17.389,17.495,188866
1998-08-07,18.018,18.803,17.757,18.803,239340
1998-08-10,18.279,18.803,18.279,18.54,174767
1998-08-11,17.912,17.912,16.611,16.871,288681
1998-08-12,17.757,17.912,17.128,17.495,265766
1998-08-13,16.711,16.711,16.087,16.45,310468
1998-08-14,16.971,17.495,16.971,17.389,117725
1998-08-17,16.45,16.711,16.347,16.611,113379
1998-08-18,17.235,17.495,17.235,17.235,139787
1998-08-19,17.912,17.912,17.235,17.757,197653
1998-08-20,17.65,17.757,17.495,17.65,275628
1998-08-21,16.611,16.871,16.45,16.871,197979
1998-08-24,17.235,17.235,16.871,16.871,102801
