Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1994-08-02,8.0471,8.0471,8.0471,8.0471,357108
1994-08-03,8.8385,8.8385,8.8385,8.8385,334563
1994-08-04,9.715,9.715,9.715,9.715,365739
1994-08-08,8.8385,8.8385,8.8385,8.8385,271213
1994-08-09,10.432,10.432,10.432,10.432,139342
1994-08-10,9.84,9.84,9.84,9.84,160764
1994-08-11,9.639,9.639,9.639,9.639,131529
1994-08-16,10.241,10.241,10.241,10.241,83785
1994-08-17,10.755,10.755,10.755,10.755,84834
1994-08-18,9.677,9.677,9.677,9.677,56118
1994-08-22,10.041,10.041,10.041,10.041,108045
1994-08-23,9.2389,9.2389,9.2389,9.2389,70407
1994-08-24,9.0386,9.0386,9.0386,9.0386,78179
1994-08-25,8.1235,8.1235,8.1235,8.1235,65907
1994-08-29,8.8003,8.8003,8.8003,8.8003,91307
1994-08-30,8.7622,8.7622,8.7622,8.7622,59243
1994-08-31,8.2473,8.2473,8.2473,8.2473,48104
1994-09-01,8.0471,8.0471,8.0471,8.0471,70109
1994-09-05,7.6466,7.6466,7.6466,7.6466,44351
1994-09-06,6.8744,6.8744,6.8744,6.8744,38826
1994-09-07,6.1974,6.1974,6.1974,6.1974,161320
1994-09-08,6.7886,6.7886,6.7886,6.7886,89289
1994-09-12,7.4465,7.4465,7.4465,7.4465,111816
1994-09-13,6.7123,6.7123,6.7123,6.7123,168285
1994-09-14,6.8267,6.8267,6.8267,6.8267,69782
1994-09-15,6.6932,6.6932,6.6932,6.6932,40467
1994-09-19,6.6742,6.6742,6.6742,6.6742,56496
1994-09-20,6.0162,6.0162,6.0162,6.0162,65080
1994-09-21,5.4728,5.4728,5.4728,5.4728,92244
1994-09-22,5.692,5.692,5.692,5.692,81628
1994-09-26,5.5395,5.5395,5.5395,5.5395,51328
1994-09-27,5.1392,5.1392,5.1392,5.1392,58148
1994-09-28,5.1392,5.1392,5.1392,5.1392,104771
1994-09-29,5.4347,5.4347,5.4347,5.4347,52559
1994-10-03,5.9781,5.9781,5.9781,5.9781,107561
1994-10-04,6.0354,6.0354,6.0354,6.0354,127365
1994-10-05,6.636,6.636,6.636,6.636,82442
1994-10-06,6.5312,6.5312,6.5312,6.5312,102738
1994-10-07,6.6551,6.6551,6.6551,6.6551,84375
1994-10-10,6.5312,6.5312,6.5312,6.5312,53669
1994-10-11,6.2356,6.2356,6.2356,6.2356,55980
1994-10-12,6.2356,6.2356,6.2356,6.2356,49576
1994-10-13,5.6158,5.6158,5.6158,5.6158,90351
1994-10-14,6.1498,6.1498,6.1498,6.1498,130179
1994-10-17,6.4358,6.4358,6.4358,6.4358,93623
1994-10-18,6.636,6.636,6.636,6.636,92342
1994-10-19,6.5312,6.5312,6.5312,6.5312,45438
1994-10-20,6.4168,6.4168,6.4168,6.4168,121096
1994-10-21,6.0926,6.0926,6.0926,6.0926,61572
1994-10-24,5.6349,5.6349,5.6349,5.6349,60841
1994-10-25,5.7111,5.7111,5.7111,5.7111,47007
1994-10-26,5.7398,5.7398,5.7398,5.7398,116858
1994-10-27,5.4347,5.4347,5.4347,5.4347,32844
1994-10-28,5.3202,5.3202,5.3202,5.3202,28780
1994-11-02,5.8542,5.8542,5.8542,5.8542,42545
1994-11-03,5.7969,5.7969,5.7969,5.7969,17547
1994-11-04,5.7779,5.7779,5.7779,5.7779,46007
1994-11-07,5.7398,5.7398,5.7398,5.7398,36047
1994-11-08,5.7398,5.7398,5.7398,5.7398,20781
1994-11-09,5.7588,5.7588,5.7588,5.7588,53864
1994-11-10,5.7588,5.7588,5.7588,5.7588,46151
1994-11-14,5.7398,5.7398,5.7398,5.7398,38244
1994-11-15,5.3202,5.3202,5.3202,5.3202,43246
1994-11-16,5.3202,5.3202,5.3202,5.3202,72881
1994-11-17,5.2154,5.2154,5.2154,5.2154,23355
1994-11-18,5.5205,5.5205,5.5205,5.5205,46263
1994-11-21,4.958,4.958,4.958,4.958,18391
1994-11-22,4.4812,4.4812,4.4812,4.4812,58844
1994-11-23,4.5384,4.5384,4.5384,4.5384,33135
1994-11-24,4.5193,4.5193,4.5193,4.5193,22761
1994-11-25,4.5384,4.5384,4.5384,4.5384,14160
1994-11-28,4.958,4.958,4.958,4.958,35930
1994-11-29,5.4537,5.4537,5.4537,5.4537,83792
1994-11-30,5.9114,5.9114,5.9114,5.9114,75562
1994-12-01,5.8732,5.8732,5.8732,5.8732,80805
1994-12-02,5.2726,5.2726,5.2726,5.2726,50246
1994-12-05,5.5395,5.5395,5.5395,5.5395,35985
1994-12-06,5.4156,5.4156,5.4156,5.4156,35512
1994-12-07,5.5395,5.5395,5.5395,5.5395,90471
1994-12-08,4.977,4.977,4.977,4.977
1994-12-09,4.5384,4.5384,4.5384,4.5384,38531
1994-12-12,4.9198,4.9198,4.9198,4.9198,64567
1994-12-13,4.7386,4.7386,4.7386,4.7386,33947
1994-12-14,4.6433,4.6433,4.6433,4.6433,55496
1994-12-15,4.7386,4.7386,4.7386,4.7386,21406
1994-12-16,5.1963,5.1963,5.1963,5.1963,79099
1994-12-19,5.1201,5.1201,5.1201,5.1201,29263
1994-12-20,5.0628,5.0628,5.0628,5.0628,27651
1994-12-21,4.977,4.977,4.977,4.977,15121
1994-12-22,5.1201,5.1201,5.1201,5.1201,11165
1994-12-23,5.1201,5.1201,5.1201,5.1201,16482
1994-12-27,5.0818,5.0818,5.0818,5.0818,15792
1994-12-28,4.9198,4.9198,4.9198,4.9198,17532
