Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-05-06,10.694,10.694,10.221,10.432,10265771
2008-05-07,10.432,10.51,10.264,10.483,3997474
2008-05-08,10.399,10.483,10.34,10.441,593057
2008-05-09,10.441,10.441,10.127,10.196,568709
2008-05-12,10.221,10.264,10.127,10.204,461904
2008-05-13,10.162,10.382,10.145,10.322,830958
2008-05-14,10.441,10.713,10.441,10.678,1066341
2008-05-15,10.628,10.628,10.568,10.619,250067
2008-05-16,10.619,10.635,10.576,10.602,456061
2008-05-19,10.635,10.635,10.517,10.56,1003019
2008-05-20,10.56,10.797,10.56,10.719,1423254
2008-05-21,10.678,10.788,10.602,10.694,504827
2008-05-23,10.713,10.779,10.703,10.754,255763
2008-05-26,10.754,10.754,10.688,10.719,146821
2008-05-27,10.688,10.746,10.678,10.746,270503
2008-05-28,10.754,11.118,10.746,11.049,803281
2008-05-29,11.11,11.194,11.033,11.042,513326
2008-05-30,11.118,11.405,11.11,11.405,246341
2008-06-02,11.423,11.829,11.388,11.71,1006918
2008-06-03,11.744,12.268,11.727,12.226,844543
2008-06-04,12.293,12.303,11.668,11.744,289500
2008-06-05,11.515,11.862,11.236,11.583,388749
2008-06-06,11.778,11.855,11.515,11.633,146725
2008-06-09,11.347,11.515,11.101,11.473,211822
2008-06-10,11.269,11.313,10.871,11.126,477728
2008-06-11,10.965,11.076,10.847,11,363850
2008-06-12,10.839,11.152,10.805,10.871,205004
2008-06-13,10.871,11.118,10.738,11.049,68477
2008-06-16,11.042,11.398,11.033,11.355,122226
2008-06-17,11.313,11.549,11.313,11.432,105970
2008-06-18,11.388,11.405,11.033,11.118,148902
2008-06-19,11.076,11.118,10.738,11.033,571433
2008-06-20,11.118,11.194,11.049,11.049,276236
2008-06-23,11.11,11.118,10.839,10.871,317935
2008-06-24,10.871,10.907,10.331,10.56,332004
2008-06-25,10.483,10.56,10.39,10.441,682432
2008-06-26,10.365,10.483,10.365,10.399,73608
2008-06-27,10.322,10.56,10.238,10.483,207695
2008-06-30,10.441,10.635,10.365,10.635,169284
2008-07-01,10.703,10.831,10.424,10.424,509662
2008-07-02,10.424,10.965,10.424,10.881,216194
2008-07-03,10.839,10.839,10.719,10.754,310645
2008-07-04,10.719,10.797,10.635,10.635,112698
2008-07-07,10.754,10.754,10.635,10.719,117250
2008-07-08,10.635,10.746,10.491,10.703,102306
2008-07-09,10.635,10.754,10.619,10.719,116331
2008-07-10,10.602,10.678,10.517,10.628,112451
2008-07-11,10.719,10.719,10.17,10.17,54903
2008-07-14,10.086,10.238,9.688,9.882,48249
2008-07-15,9.611,9.629,9.4507,9.526,209980
2008-07-16,9.637,9.79,9.1976,9.637,209219
2008-07-17,9.798,10.305,9.646,10.077,138459
2008-07-18,10.044,10.483,10.044,10.441,109475
2008-07-21,10.483,10.839,10.441,10.839,80669
2008-07-22,10.822,11.008,10.779,11.008,64436
2008-07-23,11.067,11.363,11.067,11.337,183593
2008-07-24,11.33,11.33,11.169,11.245,235441
2008-07-25,11.076,11.355,10.932,11.245,94968
2008-07-28,11.372,11.372,11.245,11.363,30973
2008-07-29,11.313,11.313,11.245,11.288,379800
2008-07-30,11.33,11.388,11.254,11.363,67213
2008-07-31,11.186,11.405,11.186,11.405,505008
2008-08-01,11.363,11.363,11.245,11.295,379300
2008-08-04,11.169,11.245,11.042,11.042,137882
2008-08-05,11.042,11.152,11.042,11.084,237400
2008-08-06,11.245,11.33,11.169,11.245,266840
2008-08-07,11.245,11.245,10.923,11.084,31193
2008-08-08,11.092,11.169,10.923,11.042,313934
2008-08-11,10.847,11.245,10.847,11.008,184033
2008-08-12,11.008,11.008,10.797,10.805,26793
2008-08-13,11.084,11.084,10.847,11.008,83709
2008-08-14,11.084,11.16,11.008,11.084,131590
2008-08-18,11.16,11.16,11.084,11.084,94135
2008-08-19,11.049,11.118,11.008,11.11,61491
2008-08-20,10.965,11.092,10.965,11.084,80397
2008-08-21,11.042,11.042,10.923,11.008,66971
2008-08-22,10.907,11.126,10.907,11.118,39468
2008-08-25,11.084,11.169,10.932,11.084,5462
2008-08-26,11.016,11.16,11.008,11.143,187106
2008-08-27,11.169,11.169,11.016,11.169,73140
2008-08-28,11.16,11.16,11.042,11.126,403356
2008-08-29,11.126,11.651,11.126,11.651,107332
2008-09-01,11.625,12.048,11.261,12.032,190840
2008-09-02,11.989,12.151,11.811,12.074,572085
2008-09-03,11.974,12.048,11.889,11.98,1078229
2008-09-04,12.032,12.04,11.811,11.811,42974
2008-09-05,11.719,11.719,11.337,11.566,769888
2008-09-08,11.609,11.727,11.49,11.651,53316
2008-09-09,11.508,12.048,11.508,11.88,78307
2008-09-10,11.566,11.964,11.566,11.845,667468
2008-09-11,11.76,11.889,11.508,11.508,155902
2008-09-12,11.566,11.845,11.566,11.769,248204
2008-09-15,11.769,11.769,11.33,11.609,228531
2008-09-16,11.347,11.49,11.245,11.245,244129
2008-09-17,11.261,11.524,11.211,11.473,263236
2008-09-18,11.203,11.651,11.203,11.651,154506
2008-09-19,11.727,12.048,11.727,12.048,352703
2008-09-22,11.896,12.293,11.889,11.889,244507
2008-09-23,11.98,12.048,11.651,12.048,175811
2008-09-24,12.048,12.201,12.048,12.167,169679
2008-09-25,12.209,12.387,12.132,12.132,157292
2008-09-26,12.132,12.132,11.896,11.964,57376
2008-09-29,12.032,12.032,11.651,11.651,101314
2008-09-30,11.245,11.49,10.847,11.363,261730
2008-10-01,11.618,11.702,11.447,11.659,292496
2008-10-02,11.769,11.769,11.541,11.566,171211
2008-10-03,11.524,11.651,11.432,11.651,17253
2008-10-06,11.49,11.49,11.33,11.347,204337
2008-10-07,11.447,11.566,11.186,11.405,165173
2008-10-08,11.126,11.279,10.713,11.279,298043
2008-10-09,11.279,11.279,11.126,11.126,621303
2008-10-10,10.982,10.982,10.077,10.238,717081
2008-10-13,10.441,11.008,10.441,10.923,78984
2008-10-14,11.203,11.515,11.084,11.245,65248
2008-10-15,11.169,11.245,10.923,11.059,38661
2008-10-16,10.713,11.008,10.542,10.738,76960
2008-10-17,10.923,10.965,10.525,10.602,353370
2008-10-20,11.008,11.169,10.551,10.56,289364
2008-10-21,10.805,10.805,10.525,10.525,124708
