Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-10,7.9801,7.9801,7.9801,7.9801,7250853
1997-07-11,8.1501,8.1501,8.1501,8.1501,4586322
1997-07-14,7.3374,7.3374,7.3374,7.3374,1172706
1997-07-15,6.6256,6.6256,6.6256,6.6256,2450723
1997-07-16,7.2684,7.2684,7.2684,7.2684,1680368
1997-07-17,7.4063,7.4705,7.4063,7.4705,2264931
1997-07-18,7.3006,7.3006,7.0664,7.0985,787491
1997-07-21,7.3006,7.3006,7.2363,7.3006,1077550
1997-07-22,7.3006,7.4063,7.3006,7.3374,698663
1997-07-23,7.3694,7.3694,7.1674,7.2363,599107
1997-07-24,7.3006,7.3006,7.2363,7.2363,730169
1997-07-25,7.2684,7.2684,7.1995,7.1995,582774
1997-07-28,7.1353,7.1353,7.0298,7.0298,607483
1997-07-29,6.9654,7.1353,6.9654,7.0664,347686
1997-07-30,7.0664,7.3006,7.0664,7.2363,387540
1997-07-31,7.1995,7.1995,7.0298,7.0664,385351
1997-08-01,7.0664,7.1995,7.0664,7.0664,287596
1997-08-04,7.1353,7.1995,7.1353,7.1674,407889
1997-08-05,7.1995,7.3006,7.1995,7.3006,603124
1997-08-06,7.3006,7.3006,7.1995,7.2363,440890
1997-08-07,7.2684,7.7458,7.2684,7.7092,551643
1997-08-08,7.6083,8.1501,7.6083,7.948,1091895
1997-08-11,7.8104,7.8104,7.5762,7.6083,784869
1997-08-12,7.5762,7.8104,7.5762,7.7092,648959
1997-08-13,7.8104,7.8104,7.8104,7.8104,869837
1997-08-14,7.5394,7.6404,7.5073,7.5394,377144
1997-08-18,7.4383,7.4383,7.2363,7.3006,362607
1997-08-19,7.5394,7.8104,7.5394,7.6772,678347
1997-08-20,7.7458,7.7458,7.6083,7.6404,664989
1997-08-21,7.4705,7.4705,7.4063,7.4063,230438
1997-08-22,7.3694,7.5394,7.3694,7.5073,220832
1997-08-25,7.4063,7.5073,7.3006,7.3006,206830
1997-08-26,7.3006,7.4383,7.3006,7.3694,241261
1997-08-27,7.3694,7.4383,7.3694,7.4063,226761
1997-08-28,7.5762,7.7458,7.5762,7.7092,902795
1997-08-29,7.6404,7.6404,7.5762,7.6083,966071
1997-09-01,7.5073,7.5762,7.5073,7.5073,256866
1997-09-02,7.6404,7.7092,7.6404,7.6772,597400
1997-09-03,7.7458,7.9159,7.7458,7.8791,1142226
1997-09-04,7.7458,7.7458,7.6404,7.6772,595160
1997-09-05,7.6404,7.7782,7.6404,7.7092,512409
1997-09-08,7.6772,7.6772,7.6083,7.6772,203077
1997-09-09,7.5762,7.6404,7.5762,7.6083,390262
1997-09-10,7.5762,7.6772,7.5762,7.6083,380333
1997-09-11,7.5073,7.6083,7.5073,7.5762,383947
1997-09-12,7.5762,7.6404,7.5762,7.6083,346836
1997-09-15,7.5394,7.6404,7.5394,7.6083,309804
1997-09-16,7.5394,7.5762,7.4705,7.4705,344162
1997-09-17,7.4383,7.4383,7.3694,7.4063,372170
1997-09-18,7.3374,7.4705,7.3006,7.4705,541301
1997-09-19,7.6404,7.7782,7.6404,7.7782,1378191
1997-09-22,7.8104,7.8104,7.6772,7.7092,866831
1997-09-23,7.7092,7.7092,7.6083,7.6404,590225
1997-09-24,7.5073,7.6083,7.5073,7.5762,419855
1997-09-25,7.4383,7.4383,7.3374,7.3694,619003
1997-09-26,7.3374,7.3694,7.3006,7.3006,544826
1997-09-29,7.3694,7.4383,7.3694,7.3694,437311
1997-09-30,7.5073,7.5073,7.3694,7.4063,393292
1997-10-01,7.4705,7.5073,7.4383,7.5073,684196
1997-10-02,7.4383,7.4383,7.3694,7.3694,541466
1997-10-03,7.4705,7.6083,7.4705,7.5394,1428384
1997-10-06,7.4705,7.6083,7.4705,7.5394,1492229
1997-10-07,7.4705,7.7092,7.4705,7.6772,1459000
1997-10-08,7.7092,8.0168,7.7092,7.9801,2307460
1997-10-09,7.8104,7.9159,7.7782,7.7782,2255236
1997-10-10,7.6772,7.7092,7.6083,7.6083,1114586
1997-10-13,7.7458,7.847,7.7458,7.847,968596
1997-10-14,7.8104,7.9159,7.7458,7.7782,1172953
1997-10-15,7.9159,7.948,7.8791,7.948,1748739
1997-10-16,7.9801,7.9801,7.847,7.8791,1084676
1997-10-17,7.9159,8.0168,7.9159,7.9801,1207491
1997-10-20,8.0168,8.0858,8.0168,8.0168,1760436
1997-10-21,8.1179,8.32,8.1179,8.2878,1511945
1997-10-22,8.32,8.4899,8.32,8.3567,1733901
1997-10-23,8.2878,8.2878,7.9801,8.0168,3208592
1997-10-24,7.948,8.0858,7.948,8.0492,1769481
1997-10-27,7.5394,7.5762,7.4063,7.4063,1848308
1997-10-28,6.7957,6.7957,6.1161,6.2168,674183
1997-10-29,7.4063,7.4063,6.9654,7.2363,2075461
1997-10-30,7.0298,7.0298,6.7957,6.9287,1926446
1997-10-31,6.9974,7.0664,6.9654,7.0298,2277136
1997-11-03,7.0298,7.1674,7.0298,7.1353,1347211
1997-11-04,6.8966,6.9654,6.8277,6.8598,1506688
1997-11-05,6.7957,6.8277,6.7589,6.7589,1385054
1997-11-06,6.8966,6.8966,6.8277,6.8277,791215
1997-11-07,6.7266,6.7266,6.5568,6.6256,990191
1997-11-12,6.6256,6.6256,6.1161,6.318,1138188
1997-11-13,6.0472,6.1161,5.9461,6.1161,1943542
1997-11-14,6.2168,6.2168,6.0791,6.1161,1434833
1997-11-17,6.419,6.4557,6.2858,6.419,1352882
1997-11-18,6.4557,6.4557,6.318,6.3503,1186059
1997-11-19,5.9783,6.1161,5.9783,6.0104,978050
1997-11-20,5.9783,5.9783,5.8772,5.9461,767722
1997-11-21,6.1481,6.1481,6.0104,6.0791,899872
1997-11-24,5.5374,5.6384,5.3997,5.4362,1781530
1997-11-25,5.3676,5.3997,5.3308,5.3676,1585117
1997-11-26,5.3997,5.3997,5.1976,5.2297,1246077
1997-11-27,5.3308,5.3308,5.0599,5.0599,1474098
1997-11-28,5.161,5.161,4.9588,5.0967,1480255
1997-12-01,5.2988,5.3997,5.2988,5.3308,1649586
1997-12-02,5.3676,5.3676,5.2666,5.2666,960073
1997-12-03,5.2666,5.2666,5.1288,5.1976,668926
1997-12-04,5.161,5.2666,5.1288,5.161,1364939
1997-12-05,5.1288,5.1288,4.9588,5.0277,1191451
1997-12-08,5.0277,5.0277,4.89,4.9269,713833
1997-12-09,4.9588,4.9588,4.8579,4.89,608184
1997-12-10,4.8579,4.8579,4.7567,4.7567,693615
1997-12-11,4.518,4.5503,4.3804,4.4172,1059134
1997-12-12,4.3804,4.4172,4.3804,4.3804,1172504
1997-12-15,4.4493,4.518,4.4172,4.4493,1099388
1997-12-16,4.4493,4.4493,4.2793,4.3114,1130893
1997-12-17,4.3482,4.3482,4.0772,4.1461,935418
1997-12-18,4.0772,4.1094,3.9763,4.0085,1241810
1997-12-19,3.9076,3.9076,3.8065,3.8386,1359636
