Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-05-16,40.513,40.513,37.249,40.178,4096
2001-05-17,38.923,40.095,38.505,40.095,2507
2001-05-18,38.588,39.341,38.588,39.341,12
2001-05-24,40.178,40.178,40.178,40.178,5
2001-05-25,40.513,40.513,40.513,40.513,286
2001-05-29,40.43,40.43,40.43,40.43,238
2001-05-30,40.261,40.261,40.261,40.261,238
2001-05-31,40.261,40.261,40.261,40.261,119
2001-06-01,39.844,39.844,39.844,39.844,238
2001-06-04,39.761,39.761,39.341,39.341,2032
2001-06-05,40.261,40.261,39.341,39.341,407
2001-06-06,40.178,40.261,39.341,40.261,294
2001-06-07,40.261,40.261,40.261,40.261,478
2001-06-08,40.43,40.43,40.43,40.43,119
2001-06-11,40.43,40.43,40.43,40.43,58
2001-06-12,38.923,40.513,38.923,40.513,297
2001-06-15,40.346,40.598,40.178,40.598,3784
2001-06-18,40.598,40.598,40.598,40.598,179
2001-06-21,39.761,39.761,39.761,39.761,238
2001-06-22,40.178,40.178,40.178,40.178,419
2001-06-25,40.261,40.261,40.178,40.178,238
2001-06-26,40.178,40.178,39.761,39.761,454
2001-06-28,41.017,41.017,40.178,40.513,717
2001-06-29,41.017,41.017,41.017,41.017,825
2001-07-02,40.261,40.261,40.261,40.261,458
2001-07-03,40.513,40.932,40.513,40.513,799
2001-07-04,40.598,40.764,40.598,40.68,836
2001-07-05,40.598,40.598,40.598,40.598,421
2001-07-06,40.848,41.017,40.848,41.017,514
2001-07-09,41.099,41.099,41.099,41.099,359
2001-07-10,41.017,41.099,41.017,41.017,574
2001-07-11,41.017,41.017,41.017,41.017,798
2001-07-12,41.017,41.183,41.017,41.183,1757
2001-07-13,41.017,41.017,41.017,41.017,58
2001-07-16,41.268,41.268,41.268,41.268,345
2001-07-17,41.099,41.268,41.099,41.268,932
2001-07-18,41.433,41.518,41.433,41.518,1028
2001-07-19,41.518,41.769,41.518,41.769,2928
2001-07-20,41.853,41.853,41.853,41.853,257
2001-07-23,42.689,42.856,42.689,42.856,460
2001-07-24,42.271,43.108,42.271,43.108,836
2001-07-25,43.526,43.526,43.526,43.526,58
2001-07-27,43.444,43.444,43.444,43.444,10
2001-07-30,43.108,43.526,43.108,43.526,503
2001-07-31,43.192,43.192,43.192,43.192,10
2001-08-01,43.192,43.192,43.192,43.192,10
2001-08-02,43.946,43.946,41.853,43.946,524
2001-08-03,43.526,43.946,43.526,43.946,227
2001-08-06,43.861,43.861,43.861,43.861,169
2001-08-07,43.108,43.108,43.108,43.108,10
2001-08-08,41.853,43.024,41.602,41.602,884
2001-08-09,43.108,43.361,43.108,43.361,524
2001-08-10,42.689,42.689,42.689,42.689,238
2001-08-13,42.689,42.689,42.605,42.605,478
2001-08-14,43.024,43.024,42.94,42.94,122
2001-08-16,42.856,42.856,42.856,42.856,238
2001-08-17,42.689,42.774,42.689,42.774,287
2001-08-20,43.108,43.108,43.108,43.108,119
2001-08-21,43.108,43.108,43.108,43.108,48
2001-08-22,42.689,42.689,42.689,42.689,97
2001-08-23,43.444,43.444,43.444,43.444,208
2001-08-24,42.605,42.605,42.605,42.605,238
2001-08-27,42.94,43.024,42.605,43.024,1171
2001-08-28,42.522,43.024,42.522,43.024,745
2001-08-29,43.108,43.526,42.187,43.526,721
2001-08-30,43.108,43.108,42.522,42.522,238
2001-08-31,42.355,42.355,42.271,42.271,478
2001-09-03,42.271,42.271,41.936,41.936,478
2001-09-04,41.853,42.522,41.853,42.522,581
2001-09-06,41.936,41.936,41.936,41.936,48
2001-09-07,41.936,41.936,41.936,41.936,238
2001-09-10,42.271,42.271,42.271,42.271,238
2001-09-12,41.853,41.853,41.853,41.853,359
2001-09-13,42.187,42.187,42.187,42.187,179
2001-09-17,42.187,42.187,42.187,42.187,179
2001-09-18,41.183,41.183,41.017,41.017,478
2001-09-19,40.598,41.017,40.598,41.017,419
2001-09-20,39.761,40.598,39.761,40.598,663
2001-09-21,39.341,40.261,39.341,40.261,162
2001-09-24,40.43,40.513,40.43,40.513,394
2001-09-26,40.513,40.513,40.513,40.513,362
2001-09-27,40.68,40.764,40.68,40.764,362
2001-09-28,40.848,40.848,40.848,40.848,474
2001-10-01,41.099,41.183,41.099,41.183,474
2001-10-02,41.183,41.268,41.183,41.268,390
2001-10-03,40.598,41.017,40.598,41.017,8996
2001-10-04,41.017,41.35,41.017,41.35,359
2001-10-05,41.099,41.433,40.598,40.598,6355
2001-10-08,41.35,41.433,40.261,41.433,505
2001-10-09,40.261,42.355,40.261,42.355,629
2001-10-10,42.187,42.355,42.104,42.355,598
2001-10-11,42.522,42.689,42.187,42.689,514
2001-10-12,42.522,42.774,42.522,42.774,485
2001-10-15,42.522,42.774,41.433,42.774,598
2001-10-18,42.355,42.689,42.355,42.689,243
2001-10-19,41.853,41.936,41.853,41.936,419
2001-10-22,41.518,41.518,41.017,41.017,374
2001-10-23,40.598,41.936,40.598,41.936,248
2001-10-24,40.68,42.271,40.68,42.271,487
2001-10-25,42.689,42.689,41.017,42.605,150
2001-10-29,40.598,42.271,40.178,42.271,345
2001-10-30,42.271,42.856,42.271,42.689,650
2001-10-31,42.355,42.355,42.355,42.355,238
2001-11-02,40.598,42.271,40.598,42.271,257
2001-11-05,42.271,42.271,42.271,42.271,478
2001-11-06,42.271,42.689,42.271,42.689,717
2001-11-07,42.271,42.271,42.271,42.271,238
2001-11-09,42.355,42.355,42.355,42.355,236
2001-11-13,42.355,42.355,42.271,42.271,330
2001-11-14,42.438,42.438,42.438,42.438,464
2001-11-15,42.94,42.94,42.271,42.94,425
2001-11-16,42.94,43.444,42.94,43.444,409
2001-11-19,43.024,43.024,43.024,43.024,238
2001-11-20,43.024,43.024,43.024,43.024,238
2001-11-21,43.108,43.276,43.108,43.276,238
2001-11-22,43.526,43.526,43.526,43.526,10
2001-11-23,43.612,44.363,43.612,44.363,251
2001-11-26,43.946,43.946,43.946,43.946,145
2001-11-27,43.861,43.861,43.861,43.861,238
2001-11-28,43.861,43.861,43.861,43.861,238
2001-11-29,44.196,44.196,43.612,43.612,479
2001-11-30,44.196,44.196,43.695,43.695,240
2001-12-03,43.777,43.777,43.777,43.777,238
2001-12-04,44.196,46.622,44.196,44.615,1844
2001-12-05,43.946,43.946,43.946,43.946,74
2001-12-06,43.946,43.946,43.946,43.946,782
2001-12-07,43.946,44.699,43.946,44.699,378
2001-12-10,44.615,45.618,44.615,45.618,536
2001-12-11,46.455,46.455,46.455,46.455,179
2001-12-12,45.284,47.711,45.284,46.455,267
2001-12-13,46.707,46.707,46.707,46.707,204
2001-12-17,48.633,48.633,47.881,47.881,180
2001-12-18,49.889,49.889,49.889,49.889,478
2001-12-19,49.889,49.889,49.889,49.889,238
2001-12-20,49.804,51.479,49.804,51.479,487
2001-12-27,52.734,52.734,52.734,52.734,183
2001-12-28,54.409,54.409,54.409,54.409,4
2001-12-31,54.241,54.241,54.241,54.241,10
2002-01-02,54.241,54.241,54.241,54.241,10
2002-01-07,53.571,53.571,53.571,53.571,275
2002-01-08,53.738,54.409,53.738,54.409,263
2002-01-09,54.409,56.334,54.409,56.334,291
2002-01-11,54.492,54.492,54.492,54.492,710
2002-01-14,54.576,54.576,54.576,54.576,74
2002-01-15,54.576,54.576,54.576,54.576,119
2002-01-16,54.409,54.409,54.409,54.409,42
2002-01-17,54.492,54.492,54.492,54.492,119
2002-01-18,54.744,54.744,54.744,54.744,119
2002-01-21,54.576,54.576,54.576,54.576,238
2002-01-22,56.334,56.334,56.334,56.334,143
2002-01-23,55.58,55.58,55.58,55.58,143
2002-01-24,55.748,55.748,55.748,55.748,58
2002-01-25,56.166,57.756,56.166,57.756,119
2002-01-28,57.841,57.841,57.841,57.841,238
2002-01-29,58.008,58.008,58.008,58.008,216
2002-01-30,57.923,57.923,57.923,57.923,119
2002-01-31,59.262,59.262,59.012,59.012,209
2002-02-01,58.761,58.761,58.761,58.761,58
2002-02-04,61.606,61.606,61.606,61.606,34
2002-02-05,61.522,61.606,61.522,61.606,324
2002-02-06,61.105,61.105,61.105,61.105,200
2002-02-07,61.105,61.105,61.105,61.105,179
2002-02-08,60.267,60.267,60.267,60.267,24
2002-02-11,58.761,58.761,58.761,58.761,179
2002-02-12,59.096,59.096,59.096,59.096,220
2002-02-13,59.18,59.18,59.096,59.18,289
2002-02-14,59.096,59.096,59.096,59.096,251
2002-02-15,61.522,61.522,61.522,61.522,124
2002-02-18,61.105,61.105,59.765,59.765,84
2002-02-19,60.016,64.369,60.016,61.189,288
2002-02-20,61.606,61.606,61.271,61.606,353
2002-02-21,62.027,62.027,62.027,62.027,119
2002-02-22,62.864,62.864,62.864,62.864,119
2002-02-25,63.616,63.616,63.616,63.616,110
2002-02-26,64.955,66.964,63.616,64.453,1167
2002-02-27,64.453,64.453,64.453,64.453,14
2002-02-28,68.221,71.149,68.221,71.149,79
2002-03-04,74.581,78.181,74.497,77.344,481
2002-03-05,79.018,79.855,79.018,79.436,342
2002-03-06,79.436,79.436,79.436,79.436,175
2002-03-07,75.251,75.251,69.475,72.907,296
2002-03-08,70.397,70.397,70.313,70.313,74
2002-03-11,70.397,70.397,70.313,70.313,367
2002-03-12,70.313,71.568,70.313,71.568,16
2002-03-14,72.823,72.823,72.823,72.823,24
