Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-09,26.004,26.004,24.383,24.383,1842046
2005-06-10,24.465,24.792,23.975,23.975,696601
2005-06-13,24.383,24.465,23.975,24.138,219478
2005-06-14,24.301,24.301,24.138,24.138,186103
2005-06-15,24.138,24.219,23.975,24.138,164503
2005-06-16,24.138,24.138,23.737,23.737,175906
2005-06-17,23.893,23.893,23.573,23.656,293684
2005-06-20,23.573,23.656,23.408,23.573,235971
2005-06-21,23.573,23.656,23.408,23.573,336527
2005-06-22,23.656,24.301,23.656,24.219,307378
2005-06-23,24.383,24.63,24.056,24.056,227324
2005-06-24,24.138,24.301,23.893,23.893,43762
2005-06-27,23.893,24.219,23.811,24.138,23124
2005-06-28,24.219,24.219,23.893,24.138,22103
2005-06-29,24.301,24.301,23.975,24.056,35856
2005-06-30,24.138,24.138,23.811,24.056,57497
2005-07-01,24.138,24.138,23.893,23.975,41207
2005-07-04,23.975,24.301,23.975,24.138,49559
2005-07-05,24.219,24.548,24.138,24.383,97058
2005-07-06,24.383,24.383,24.219,24.301,23839
2005-07-07,24.383,24.383,23.975,24.301,90874
2005-07-08,24.383,25.441,24.383,25.195,1166987
2005-07-11,25.522,25.85,25.112,25.277,702616
2005-07-12,25.359,25.359,25.195,25.277,252324
2005-07-13,25.277,25.604,25.277,25.604,489798
2005-07-14,25.685,25.768,25.522,25.604,393772
2005-07-15,25.522,25.522,25.359,25.441,239432
2005-07-18,25.359,25.441,24.875,24.949,231421
2005-07-19,24.875,25.031,24.63,24.949,203797
2005-07-20,24.949,25.195,24.63,24.71,202476
2005-07-21,24.792,24.949,24.383,24.383,287429
2005-07-22,24.301,24.383,24.056,24.138,264325
2005-07-25,24.301,25.031,24.301,25.031,298260
2005-07-26,25.031,25.441,25.031,25.441,620484
2005-07-27,25.441,25.522,25.277,25.522,398766
2005-07-28,25.522,25.685,25.441,25.685,822027
2005-07-29,25.685,25.685,25.441,25.522,287387
2005-08-01,25.441,25.522,25.195,25.359,219404
2005-08-02,25.441,25.768,25.441,25.604,1207463
2005-08-03,25.604,25.85,25.359,25.768,759057
2005-08-04,25.685,25.768,25.522,25.685,267621
2005-08-05,25.685,25.685,25.441,25.522,165936
2005-08-08,25.604,26.496,25.604,26.496,1361673
2005-08-09,26.496,26.906,26.496,26.742,971490
2005-08-10,26.824,27.798,26.824,27.553,1963153
2005-08-11,27.716,28.363,27.635,28.28,1996914
2005-08-12,28.208,28.208,27.635,27.716,1212683
2005-08-16,27.716,28.044,27.553,27.635,1278264
2005-08-17,27.716,27.716,27.471,27.635,537516
2005-08-18,27.553,27.635,26.988,27.07,476307
2005-08-19,26.906,27.306,26.496,27.225,456767
2005-08-22,27.388,27.716,27.388,27.553,442646
2005-08-23,27.553,27.553,27.388,27.471,161630
2005-08-24,27.471,27.635,27.388,27.553,478575
2005-08-25,27.471,27.553,27.306,27.306,118283
2005-08-26,27.225,27.471,27.144,27.471,201503
2005-08-29,27.471,27.881,27.306,27.798,376674
2005-08-30,27.881,28.28,27.881,27.961,780826
2005-08-31,27.961,28.363,27.961,28.28,869725
2005-09-01,28.608,29.664,28.608,29.42,2348552
2005-09-02,29.583,30.476,29.583,30.157,2708136
2005-09-05,29.992,29.992,29.583,29.747,540924
2005-09-06,29.664,29.992,29.42,29.992,420637
2005-09-07,30.075,30.157,29.501,29.583,390186
2005-09-08,29.501,29.583,29.182,29.501,383656
2005-09-09,29.664,30.075,29.664,29.992,304905
2005-09-12,30.157,30.639,30.157,30.476,439704
2005-09-13,30.967,31.778,30.639,30.639,1054916
2005-09-14,30.476,31.212,30.157,31.212,352780
2005-09-15,31.294,32.351,31.294,31.696,1345435
2005-09-16,32.105,32.351,31.86,32.269,687406
2005-09-19,32.269,33.408,31.942,33.408,920918
2005-09-20,33.735,34.545,32.351,33.244,1175190
2005-09-21,32.753,33.08,32.671,32.753,732915
2005-09-22,33.161,34.218,33.08,33.326,1044618
2005-09-23,33.572,33.735,32.433,33.08,1310664
2005-09-26,32.514,33.326,32.351,33.244,659814
2005-09-27,33.326,34.3,32.916,34.218,1009983
2005-09-28,34.463,34.947,33.244,33.326,1137351
2005-09-29,33.326,33.89,32.997,33.735,513216
2005-09-30,34.136,34.628,34.054,34.545,1333968
2005-10-03,34.628,35.93,34.628,35.52,1784990
2005-10-04,35.93,36.74,35.93,36.74,923106
2005-10-05,36.248,36.493,35.765,35.765,1699488
2005-10-06,34.864,34.864,33.08,33.735,2013358
2005-10-07,32.997,34.218,32.514,34.054,1001739
2005-10-10,34.3,34.947,33.489,33.89,513038
2005-10-11,33.972,34.708,33.972,34.628,380123
2005-10-12,34.545,34.628,33.89,34.463,453022
2005-10-13,34.136,34.136,32.596,32.671,652828
2005-10-14,32.433,32.834,31.376,32.514,1042838
2005-10-17,32.671,33.653,32.671,32.753,326237
2005-10-18,33.326,33.653,32.834,32.997,303180
2005-10-19,32.514,32.834,31.86,32.596,677626
2005-10-20,32.997,33.326,32.916,33.161,167880
2005-10-21,32.916,33.244,32.596,33.08,320934
2005-10-24,32.671,33.489,32.671,33.326,250304
2005-10-25,33.08,33.808,33.08,33.408,348549
2005-10-26,33.653,33.808,32.671,32.997,437238
2005-10-27,32.514,32.514,31.696,32.514,433217
2005-10-28,32.187,32.514,31.778,32.514,261699
2005-10-31,32.514,32.997,32.514,32.916,199587
2005-11-02,32.997,33.653,32.997,33.653,245688
2005-11-03,33.89,34.054,33.489,33.808,328390
