Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-11-21,16.988,17.907,15.312,15.497,408471
2013-11-22,15.515,15.816,15.051,15.487,63871
2013-11-25,15.42,15.602,15.013,15.487,30630
2013-11-26,15.372,15.583,15.302,15.535,13609
2013-11-27,15.583,15.583,15.196,15.448,11702
2013-11-28,15.255,15.39,15.176,15.372,6488
2013-11-29,15.148,15.487,14.675,15.487,21165
2013-12-02,15.487,15.487,15.042,15.196,9994
2013-12-03,15.1,15.1,14.712,14.712,21145
2013-12-04,14.712,14.847,14.113,14.519,12873
2013-12-05,14.509,14.993,14.335,14.887,8343
2013-12-06,14.955,15.439,14.616,15.38,5199
2013-12-09,15.362,15.39,15.1,15.245,7018
2013-12-10,15.051,15.1,14.712,15.003,8810
2013-12-11,14.906,15.003,14.675,14.945,5575
2013-12-12,14.731,14.896,14.665,14.887,4994
2013-12-13,14.8,14.896,14.451,14.896,7928
2013-12-16,14.81,15.255,14.519,15.245,5111
2013-12-17,15.245,15.245,14.645,15.196,5724
2013-12-18,14.76,15.196,14.76,15.129,6125
2013-12-19,15.129,15.129,14.665,14.945,2727
2013-12-20,15.091,15.091,14.48,14.78,19263
2013-12-23,14.529,14.984,14.519,14.945,2514
2013-12-27,14.926,15.342,14.665,15.332,10925
2013-12-30,14.867,15.312,14.867,15.293,5736
2014-01-02,14.712,15.283,14.539,14.945,17312
2014-01-03,14.896,14.896,14.384,14.597,9638
2014-01-07,14.558,14.587,14.325,14.587,1648
2014-01-08,14.597,14.607,14.287,14.607,1736
2014-01-09,14.296,14.567,14.239,14.49,2603
2014-01-10,14.49,14.49,13.938,14.305,6208
2014-01-13,14.461,14.461,14.19,14.296,1336
2014-01-14,14.229,14.412,14.025,14.335,2015
2014-01-15,14.035,14.49,13.938,14.249,4202
2014-01-16,13.909,14.305,13.909,14.199,4345
2014-01-17,14.471,14.471,13.851,14.181,3682
2014-01-20,13.919,14.451,13.919,14.325,2485
2014-01-21,14.325,14.421,13.986,14.315,1007
2014-01-22,14.325,14.325,14.025,14.305,2343
2014-01-23,14.229,14.296,13.843,14.229,5598
2014-01-24,13.843,14.268,13.735,14.229,3073
2014-01-27,14.229,14.229,13.56,14.199,1107
2014-01-28,14.199,14.199,13.609,14.161,1638
2014-01-29,14.161,14.181,13.745,14.113,1961
2014-01-30,14.113,14.113,13.793,14.113,290
2014-01-31,14.113,14.471,13.697,14.471,4955
2014-02-03,14.471,14.471,14.277,14.287,1924
2014-02-04,14.461,14.461,14.055,14.412,579
2014-02-05,14.412,14.421,14.181,14.421,787
2014-02-06,14.412,14.421,13.843,14.354,6485
2014-02-07,14.035,14.354,13.86,14.335,5734
2014-02-10,13.938,14.421,13.938,14.421,5482
2014-02-11,14.325,15.166,14.325,14.509,28509
2014-02-12,14.81,15.051,14.519,14.857,5724
2014-02-13,14.857,14.896,14.567,14.75,4303
2014-02-14,14.896,14.896,14.519,14.81,10426
2014-02-17,14.519,14.79,14.431,14.665,2174
2014-02-18,14.325,14.567,14.209,14.519,2649
2014-02-19,14.471,14.519,14.374,14.519,475
2014-02-20,14.519,14.519,13.745,14.229,4743
2014-02-21,13.958,14.325,13.958,14.315,2528
2014-02-24,14.325,14.635,14.083,14.471,3356
2014-02-25,14.519,14.616,14.055,14.616,9064
2014-02-26,14.607,14.607,13.754,14.181,18532
2014-02-27,14.131,14.277,13.115,14.025,10057
2014-02-28,14.025,14.123,13.697,13.967,5845
2014-03-03,13.541,13.541,12.583,13.503,11015
2014-03-04,13.503,13.503,13.068,13.358,1309
2014-03-05,13.358,13.358,12.68,12.68,10381
2014-03-06,12.593,12.671,11.905,12.671,12711
2014-03-07,12.68,12.971,12.07,12.39,81734
2014-03-10,12.39,12.652,12.1,12.496,4779
2014-03-11,12.486,12.536,12.196,12.526,667
2014-03-12,12.476,12.476,11.915,12.34,15770
2014-03-13,12.476,12.476,11.887,12.322,534
2014-03-14,12.1,12.292,11.131,11.992,31634
2014-03-17,11.615,12.438,11.615,12.438,2604
2014-03-18,12.34,12.39,11.664,12.39,3460
2014-03-19,12.39,12.39,11.819,12.292,5400
2014-03-20,12.39,13.019,12.196,12.922,18190
2014-03-21,12.728,13.309,12.536,13.068,7728
2014-03-24,13.068,13.068,12.11,12.971,3195
2014-03-25,12.971,12.971,12.292,12.835,235
2014-03-26,12.835,12.835,12.486,12.835,877
2014-03-27,12.874,13.058,12.506,12.815,28775
2014-03-28,12.922,12.922,12.196,12.825,4348
2014-03-31,12.874,13.551,12.864,13.551,6690
2014-04-01,13.503,13.503,13.068,13.435,1640
2014-04-02,13.416,13.416,12.835,13.29,1950
2014-04-03,12.825,13.28,12.786,13.058,3724
2014-04-04,12.776,13.241,12.776,13.241,5060
2014-04-07,13.115,13.241,13.115,13.241,208
2014-04-08,12.874,13.231,12.661,13.019,1884
2014-04-09,13.058,13.058,12.68,12.767,2091
2014-04-10,12.671,13.048,12.671,12.874,1230
2014-04-11,13.038,13.038,12.255,13.009,2363
2014-04-14,13.009,13.009,12.583,12.971,427
2014-04-15,12.496,12.961,12.496,12.961,1600
2014-04-16,12.536,12.952,12.496,12.747,2244
2014-04-17,12.738,12.738,12.68,12.718,427
2014-04-22,12.718,12.718,12.573,12.718,105
2014-04-23,12.39,12.708,12.39,12.708,376
2014-04-24,12.708,12.708,12.292,12.671,856
2014-04-25,12.671,12.671,12.4,12.486,730
2014-04-28,12.486,12.486,12.11,12.137,792
2014-04-29,12.147,12.38,11.702,12.273,3216
2014-04-30,12.273,12.486,11.721,12.235,1187
2014-05-02,12.225,12.235,12.225,12.235,296
2014-05-05,11.819,12.39,11.819,12.235,1016
2014-05-06,12.196,12.747,12.031,12.68,1236
2014-05-07,12.583,12.583,12.225,12.516,9114
2014-05-08,12.516,12.516,12.137,12.187,394
2014-05-09,12.516,12.516,12.07,12.1,3636
2014-05-12,12.496,12.496,12.438,12.438,8
2014-05-13,12.428,12.428,11.78,12.37,1100
2014-05-14,12.37,12.506,12.37,12.476,745
2014-05-15,12.496,12.961,12.1,12.961,4305
