Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-06-30,28.047,28.047,28.047,28.047,1098790
1998-07-01,29.831,29.831,29.831,29.831,1277383
1998-07-02,31.11,31.11,31.11,31.11,1165807
1998-07-03,29.831,29.831,29.831,29.831,1666678
1998-07-06,29.831,29.831,29.831,29.831,773951
1998-07-07,29.068,29.831,29.068,29.326,565039
1998-07-08,29.068,29.068,28.047,28.047,1493585
1998-07-09,28.047,28.047,28.047,28.047,515635
1998-07-10,28.047,28.815,28.047,28.558,189464
1998-07-13,29.068,30.342,29.068,30.089,100480
1998-07-14,30.6,31.362,30.6,30.6,317234
1998-07-15,31.11,31.362,30.089,31.11,625019
1998-07-16,31.11,31.11,30.6,30.851,406486
1998-07-17,31.621,31.874,31.362,31.621,454550
1998-07-20,31.621,33.147,31.621,33.147,246884
1998-07-21,33.147,33.147,32.133,32.383,231609
1998-07-22,32.637,32.637,31.621,32.133,293781
1998-07-23,32.383,33.147,32.383,32.894,201964
1998-07-24,32.637,33.147,32.637,32.894,140033
1998-07-27,32.383,32.383,31.874,32.383,105382
1998-07-28,32.133,32.133,31.362,31.621,162221
1998-07-29,31.621,32.383,31.621,32.383,260335
1998-07-30,32.637,32.637,32.383,32.637,118453
1998-07-31,31.874,32.133,31.621,32.133,174198
1998-08-03,31.11,32.133,31.11,31.621,155869
1998-08-04,31.874,31.874,31.621,31.621,188780
1998-08-05,30.6,31.11,30.6,30.851,260929
1998-08-06,31.11,31.621,30.851,30.851,127761
1998-08-07,31.11,31.621,31.11,31.621,89652
1998-08-10,31.621,31.621,31.11,31.362,86993
1998-08-11,30.851,30.851,29.579,29.579,235977
1998-08-12,30.6,31.362,30.342,31.11,263191
1998-08-13,30.089,30.089,29.326,29.831,98036
1998-08-14,30.089,30.6,30.089,30.6,96531
1998-08-17,30.089,30.851,30.089,30.6,132577
1998-08-18,30.851,31.621,30.851,31.11,83338
1998-08-19,30.851,31.362,30.851,31.362,158471
1998-08-20,30.851,30.851,30.089,30.342,315133
1998-08-21,30.342,30.6,29.579,30.342,335111
1998-08-24,30.089,30.851,30.089,30.851,134879
1998-08-25,30.6,30.6,30.089,30.089,63215
1998-08-26,30.089,30.342,30.089,30.089,332165
1998-08-27,29.579,29.831,29.068,29.579,714743
1998-08-28,26.772,27.537,26.263,27.537,44512
1998-08-31,26.009,26.521,25.751,26.009,179628
1998-09-01,23.409,23.661,22.029,23.458,239492
1998-09-02,25.241,26.263,24.989,26.263,228583
1998-09-03,26.009,26.009,24.989,24.989,365811
1998-09-04,25.5,26.263,25.5,26.263,224366
1998-09-07,26.263,27.537,26.263,27.031,108812
1998-09-08,26.263,27.284,26.263,27.284,351984
1998-09-09,27.031,27.031,26.521,26.772,238729
1998-09-10,26.009,26.521,26.009,26.009,150825
1998-09-11,25.241,25.5,25.093,25.241,74863
1998-09-14,25.5,26.009,25.5,25.5,192062
1998-09-15,25.192,25.297,25.192,25.241,300637
1998-09-16,25.192,25.45,25.192,25.241,164988
1998-09-17,24.737,24.94,24.326,24.326,94212
1998-09-18,24.326,24.885,24.326,24.885,46209
1998-09-21,23.969,23.969,23.458,23.919,26550
1998-09-22,24.122,24.479,24.122,24.226,74268
1998-09-23,24.479,25.5,24.479,24.989,59174
1998-09-24,26.009,26.009,25.5,25.5,69663
1998-09-25,25.241,25.241,24.989,24.989,38278
1998-09-28,25.241,25.241,24.737,24.737,73493
1998-09-29,24.989,24.989,24.737,24.989,86221
1998-09-30,23.969,23.969,23.458,23.512,20675
1998-10-01,21.575,21.575,20.806,20.91,58424
1998-10-02,19.429,19.686,19.33,19.582,166546
1998-10-05,18.972,19.429,18.358,18.561,190324
1998-10-06,18.412,18.412,17.491,18.155,116162
1998-10-07,18.615,18.615,16.777,17.545,83838
1998-10-08,16.777,16.777,15.607,15.81,89481
1998-10-09,15.81,16.168,15.81,16.168,92526
1998-10-12,17.343,17.847,17.343,17.847,134967
1998-10-13,18.358,18.615,17.749,17.847,124373
1998-10-14,17.343,18.001,17.343,17.847,43963
1998-10-15,18.203,18.203,17.134,17.343,31309
1998-10-16,18.867,19.735,18.819,19.636,151446
1998-10-19,19.889,19.889,19.429,19.482,105427
1998-10-20,19.636,20.351,19.379,20.351,127820
1998-10-21,19.379,20.351,19.379,19.582,184374
1998-10-22,19.126,19.735,19.126,19.482,91052
1998-10-23,19.636,20.141,19.636,19.889,189824
1998-10-26,20.399,20.399,19.841,20.197,67132
1998-10-27,19.889,19.889,19.022,19.022,38994
1998-10-28,18.666,18.666,18.203,18.259,58870
1998-10-29,18.358,18.867,18.358,18.615,114233
1998-10-30,20.141,20.141,19.582,19.686,185585
1998-11-02,22.134,22.947,22.08,22.898,200859
1998-11-03,22.437,22.437,21.063,21.162,83019
1998-11-04,21.47,22.694,21.47,22.437,205569
1998-11-05,21.673,21.722,21.421,21.623,161533
1998-11-06,21.827,21.827,21.421,21.778,146575
1998-11-09,21.931,21.931,21.266,21.421,143594
1998-11-10,20.91,20.91,19.784,19.889,166031
1998-11-12,19.379,19.636,19.226,19.33,96312
1998-11-13,19.379,20.756,19.379,20.602,189255
1998-11-16,21.316,22.437,21.316,22.234,99290
