Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-11-26,15.268,15.403,14.715,15.194,15857000
1999-11-29,15.124,15.194,14.852,14.923,5499196
1999-11-30,15.06,15.33,15.06,15.194,3287087
1999-12-01,15.33,15.674,15.194,15.674,3077747
1999-12-02,15.818,16.297,15.745,15.954,3304014
1999-12-03,15.954,16.225,15.818,16.159,2357914
1999-12-06,16.297,16.847,16.297,16.776,3005048
1999-12-07,16.711,16.776,16.503,16.503,2426246
1999-12-08,16.503,16.911,16.503,16.639,3807338
1999-12-09,16.639,16.639,16.225,16.503,2513405
1999-12-10,16.639,16.639,16.36,16.431,1873080
1999-12-13,16.36,16.503,16.225,16.297,1577360
1999-12-14,16.503,16.776,16.503,16.776,3161004
1999-12-15,16.711,16.711,16.503,16.569,1310794
1999-12-16,16.503,16.503,16.297,16.36,1465447
1999-12-17,16.36,16.503,16.297,16.297,1348819
1999-12-20,16.503,16.711,16.431,16.711,2436513
1999-12-21,16.569,17.054,16.569,16.776,1591422
1999-12-22,17.192,17.741,17.192,17.598,2863837
1999-12-23,17.671,17.877,17.535,17.598,1306862
1999-12-27,17.671,18.085,17.671,17.741,1540090
1999-12-28,17.671,17.671,17.256,17.326,1120979
1999-12-29,17.326,17.95,17.326,17.95,2012078
2000-01-03,18.293,18.564,18.014,18.357,1606818
2000-01-04,17.877,17.877,17.462,17.598,1972258
2000-01-05,16.984,17.535,16.984,17.398,2718921
2000-01-06,17.462,17.806,17.256,17.741,1643433
2000-01-07,18.014,18.772,18.014,18.564,4187506
2000-01-10,18.637,19.528,18.637,18.772,4413384
2000-01-11,18.492,18.637,18.085,18.428,1684978
2000-01-12,18.014,18.357,18.014,18.357,1366549
2000-01-13,18.428,19.043,18.428,18.908,2141473
2000-01-14,18.908,19.187,18.564,18.772,4024127
2000-01-17,18.564,18.772,18.564,18.637,1769157
2000-01-18,18.699,18.772,18.085,18.221,1246337
2000-01-19,17.95,18.357,17.95,18.293,1548419
2000-01-20,18.357,18.637,18.149,18.564,2164278
2000-01-21,18.428,18.772,18.428,18.699,1573366
2000-01-24,18.428,18.428,17.877,18.149,1184610
2000-01-25,17.671,17.671,16.847,17.462,1932956
2000-01-26,17.462,17.598,17.256,17.462,1391467
2000-01-27,17.326,17.741,17.326,17.741,996820
2000-01-28,17.806,18.149,17.326,17.535,1044919
2000-01-31,17.398,17.398,17.192,17.256,901002
2000-02-01,17.598,17.95,16.984,17.054,1435312
2000-02-02,17.12,17.256,16.911,17.192,1628046
2000-02-03,17.326,17.95,17.326,17.806,1871483
2000-02-04,18.014,18.221,17.462,17.598,1440537
2000-02-07,17.535,17.671,17.256,17.398,1244569
2000-02-08,17.398,17.398,17.054,17.192,1792120
2000-02-09,17.326,17.398,16.776,16.847,3106964
2000-02-10,16.776,16.847,16.503,16.711,1426317
2000-02-11,16.503,16.503,15.882,16.017,3444580
