Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-05-12,16.341,16.856,16.298,16.856,154316666
2010-05-13,16.761,16.943,16.576,16.716,38623592
2010-05-14,16.635,16.856,16.542,16.622,22576346
2010-05-17,16.2,16.527,16.163,16.435,19891699
2010-05-18,16.411,16.612,16.402,16.527,12268543
2010-05-19,16.398,16.472,16.195,16.195,19752403
2010-05-20,16.107,16.154,15.475,15.498,22156349
2010-05-21,15.498,15.755,15.265,15.755,11385832
2010-05-24,15.76,16.13,15.755,16.036,10024252
2010-05-25,15.69,15.914,15.357,15.45,10848803
2010-05-26,15.653,16.576,15.653,16.576,54325030
2010-05-27,16.294,16.5,16.246,16.398,5099688
2010-05-28,16.406,16.453,16.2,16.388,3538473
2010-05-31,16.2,16.388,16.061,16.388,1595691
2010-06-01,16.172,16.377,15.943,16.322,5373625
2010-06-02,16.243,16.435,16.205,16.364,4859640
2010-06-04,16.322,16.435,16.013,16.013,4751912
2010-06-07,15.732,16.036,15.732,15.919,3865413
2010-06-08,15.928,16.107,15.873,15.873,26013211
2010-06-09,15.905,16.29,15.826,16.246,4724397
2010-06-10,16.12,16.449,16.12,16.388,6953748
2010-06-11,16.36,16.411,16.266,16.341,8465327
2010-06-14,16.341,16.551,16.246,16.467,3528928
2010-06-15,16.388,16.524,16.309,16.503,5713171
2010-06-16,16.513,16.551,16.21,16.5,7055689
2010-06-17,16.364,16.575,16.341,16.556,6376193
2010-06-18,16.51,16.799,16.51,16.739,23780559
2010-06-21,16.716,17.081,16.716,17.081,7374430
2010-06-22,16.879,17.01,16.785,16.856,3788233
2010-06-23,16.808,16.95,16.771,16.808,4416543
2010-06-24,16.808,16.903,16.622,16.622,3583066
2010-06-25,16.669,16.827,16.626,16.626,4618891
2010-06-28,16.65,16.701,16.411,16.481,1488229
2010-06-29,16.481,16.519,16.341,16.388,4955110
2010-06-30,16.388,16.575,16.364,16.388,2196289
2010-07-01,16.388,16.748,16.303,16.669,4878267
2010-07-02,16.519,16.856,16.519,16.576,3667384
2010-07-05,16.585,16.632,16.481,16.486,514699
2010-07-06,16.519,16.79,16.51,16.79,1001380
2010-07-07,16.579,16.808,16.551,16.761,4429078
2010-07-08,16.856,17.081,16.669,16.805,9020747
2010-07-09,16.814,16.922,16.687,16.903,906454
2010-07-12,16.856,17.417,16.781,17.417,5433254
2010-07-13,17.338,17.697,17.338,17.697,5606842
2010-07-14,17.697,17.782,17.324,17.324,2473203
2010-07-15,17.324,17.512,17.277,17.324,849004
2010-07-16,17.231,17.581,17.231,17.231,1262810
2010-07-19,17.212,17.563,17.183,17.498,5617364
2010-07-20,17.465,17.498,17.277,17.329,2285500
2010-07-21,17.371,17.643,17.371,17.535,4017175
2010-07-22,17.512,17.886,17.47,17.886,5306774
2010-07-23,17.793,17.909,17.632,17.652,2977924
2010-07-26,17.933,18.242,17.754,18.176,4129093
2010-07-27,18.214,18.325,17.657,17.985,7579432
2010-07-28,18.12,18.12,17.746,17.751,2019082
2010-07-29,17.793,18.26,17.793,18.26,5866763
2010-07-30,18.26,18.475,18.143,18.447,8666572
2010-08-02,18.457,18.738,18.416,18.588,4542466
2010-08-03,18.588,18.784,18.565,18.681,3234813
2010-08-04,18.668,18.668,18.494,18.542,1310125
2010-08-05,18.494,18.677,18.401,18.612,5219824
2010-08-06,18.631,18.635,18.447,18.494,1300791
2010-08-09,18.424,18.494,17.807,17.886,2980034
2010-08-10,17.979,17.979,17.77,17.862,3745068
2010-08-11,17.862,17.909,17.604,17.652,2355721
2010-08-12,17.643,18.073,17.643,17.933,2800297
2010-08-13,18.223,18.401,18.04,18.162,1889177
2010-08-16,18.214,18.401,18.083,18.266,1259287
2010-08-17,18.26,18.26,17.89,18.026,1324981
2010-08-18,18.153,18.153,17.872,18.092,1872016
2010-08-19,18.083,18.26,17.979,18.023,2468326
2010-08-20,18.036,18.293,17.979,18.251,2738977
2010-08-23,18.448,18.911,18.41,18.809,2570770
2010-08-24,18.752,18.767,18.256,18.578,1974365
2010-08-25,18.478,18.665,18.198,18.28,1457136
2010-08-26,18.052,18.429,17.754,17.87,3051527
2010-08-27,17.774,17.997,17.774,17.997,2319528
2010-08-30,18.112,18.28,18.073,18.073,2340824
2010-08-31,17.918,18.188,17.823,18.188,3820879
2010-09-01,18.295,18.304,18.062,18.062,2473203
2010-09-02,18.202,18.275,18.043,18.043,1785713
2010-09-03,18.092,18.392,18.062,18.392,1395636
2010-09-06,18.419,18.617,18.419,18.617,2008629
2010-09-07,18.448,18.535,18.309,18.448,1116554
2010-09-08,18.468,19.055,18.448,19.026,5577663
2010-09-09,18.834,19.258,18.791,19.234,4460156
2010-09-10,19.032,19.263,18.997,19.074,3359112
2010-09-13,19.258,19.267,19.055,19.127,4056288
2010-09-14,19.124,19.317,18.983,19.297,4215036
2010-09-15,19.273,19.363,19.114,19.363,2566033
2010-09-16,19.2,19.354,19.171,19.171,1687488
2010-09-17,19.234,19.387,18.978,19.387,5535418
2010-09-20,19.171,19.6,19.171,19.55,2010501
2010-09-21,19.55,20.11,19.467,19.797,5215620
2010-09-22,19.7,19.913,19.658,19.797,2299253
2010-09-23,19.759,19.803,19.282,19.317,4209348
2010-09-24,19.317,19.354,18.997,19.026,7503718
2010-09-27,19.219,19.306,19.148,19.171,1449199
2010-09-28,19.171,19.263,18.992,19.223,1747855
