Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-06-22,5.3062,5.3062,5.3062,5.3062,1158306
1993-06-24,4.8455,4.8455,4.8455,4.8455,1026761
1993-06-28,4.8455,4.8455,4.8455,4.8455,488173
1993-06-29,5.1278,5.1278,5.1278,5.1278,395555
1993-07-01,5.3062,5.3062,5.3062,5.3062,640156
1993-07-05,5.5515,5.5515,5.5515,5.5515,414929
1993-07-06,5.5813,5.5813,5.5813,5.5813,289918
1993-07-08,5.0238,5.0238,5.0238,5.0238,314722
1993-07-12,5.1278,5.1278,5.1278,5.1278,148255
1993-07-13,5.0906,5.0906,5.0906,5.0906,189324
1993-07-15,5.0238,5.0238,5.0238,5.0238,342970
1993-07-19,5.0238,5.0238,5.0238,5.0238,292530
1993-07-20,4.9495,4.9495,4.9495,4.9495,358193
1993-07-22,5.0609,5.0609,5.0609,5.0609,414195
1993-07-26,5.0609,5.0609,5.0609,5.0609,268789
1993-07-27,4.9865,4.9865,4.9865,4.9865,205283
1993-07-29,5.0609,5.0609,5.0609,5.0609,270076
1993-08-02,5.1278,5.1278,5.1278,5.1278,217989
1993-08-03,5.1278,5.1278,5.1278,5.1278,232111
1993-08-05,5.0906,5.0906,5.0906,5.0906,241012
1993-08-09,5.5813,5.5813,5.5813,5.5813,628219
1993-08-10,6.146,6.146,6.146,6.146
1993-08-12,6.7778,6.7778,6.7778,6.7778
1993-08-16,7.4094,7.4094,7.4094,7.4094,767961
1993-08-17,8.1531,8.1531,8.1531,8.1531,967979
1993-08-19,8.9253,8.9253,8.9253,8.9253,655746
1993-08-23,9.728,9.728,9.728,9.728
1993-08-24,10.643,10.643,10.643,10.643,281395
1993-08-26,11.736,11.736,11.736,11.736,583899
1993-08-30,10.575,10.575,10.575,10.575,566385
1993-08-31,9.557,9.557,9.557,9.557,650937
1993-09-02,10.434,10.434,10.434,10.434,398874
1993-09-06,11.415,11.415,11.415,11.415,895818
1993-09-07,10.256,10.256,10.256,10.256,842948
1993-09-09,9.833,9.833,9.833,9.833,390549
1993-09-13,9.728,9.728,9.728,9.728,227517
1993-09-14,9.833,9.833,9.833,9.833,249571
1993-09-16,10.151,10.151,10.151,10.151,409423
1993-09-20,9.1332,9.1332,9.1332,9.1332,312872
1993-09-21,8.2193,8.2193,8.2193,8.2193,257687
1993-09-23,7.4094,7.4094,7.4094,7.4094,313025
1993-09-27,6.8148,6.8148,6.8148,6.8148,499455
1993-09-28,7.4837,7.4837,7.4837,7.4837
1993-09-30,8.1531,8.1531,8.1531,8.1531,338655
1993-10-04,8.9253,8.9253,8.9253,8.9253,766295
1993-10-05,9.3421,9.3421,9.3421,9.3421,731552
1993-10-07,9.3421,9.3421,9.3421,9.3421,780822
1993-10-11,9.907,9.907,9.907,9.907,744392
1993-10-12,10.502,10.502,10.502,10.502,660603
1993-10-14,10.502,10.502,10.502,10.502,562055
1993-10-18,11.347,11.347,11.347,11.347,1185487
1993-10-19,10.924,10.924,10.924,10.924,425875
1993-10-21,10.33,10.33,10.33,10.33,575763
1993-10-26,9.907,9.907,9.907,9.907,434564
1993-10-28,10.502,10.502,10.502,10.502,566144
1993-11-02,10.502,10.502,10.502,10.502,338457
1993-11-04,10.575,10.575,10.575,10.575,660150
1993-11-08,10.151,10.151,10.151,10.151,371035
1993-11-09,9.907,9.907,9.907,9.907,482867
1993-11-10,10.502,10.502,10.502,10.502,306083
1993-11-15,10.85,10.85,10.85,10.85,539299
1993-11-16,10.747,10.747,10.747,10.747,397715
1993-11-18,9.662,9.662,9.662,9.662,526784
1993-11-22,9.662,9.662,9.662,9.662,388999
1993-11-23,10.256,10.256,10.256,10.256,217237
1993-11-25,10.33,10.33,10.33,10.33,336234
1993-11-29,10.33,10.33,10.33,10.33,430982
1993-11-30,10.434,10.434,10.434,10.434,267548
1993-12-02,10.575,10.575,10.575,10.575,520962
1993-12-06,11.66,11.66,11.66,11.66,856166
1993-12-07,12.083,12.083,12.083,12.083,703570
1993-12-09,12.01,12.01,12.01,12.01,485477
1993-12-13,12.365,12.365,12.365,12.365,503078
1993-12-14,12.365,12.365,12.365,12.365,356074
1993-12-16,12.678,12.678,12.678,12.678,442415
1993-12-20,13.592,13.592,13.592,13.592,634033
1993-12-21,13.876,13.876,13.876,13.876,457676
1993-12-23,14.403,14.403,14.403,14.403,714930
1993-12-27,15.101,15.101,15.101,15.101,652255
1993-12-28,13.592,13.592,13.592,13.592,557560
1993-12-30,14.959,14.959,14.959,14.959,750063
1994-01-03,15.874,15.874,15.874,15.874,581153
1994-01-04,16.506,16.506,16.506,16.506,927841
1994-01-06,16.579,16.579,16.579,16.579,856209
1994-01-10,17.212,17.212,17.212,17.212,706187
1994-01-11,18.617,18.617,18.617,18.617,662154
1994-01-13,20.444,20.444,20.444,20.444,736337
1994-01-17,22.407,22.407,22.407,22.407,648922
1994-01-18,24.659,24.659,24.659,24.659,599552
1994-01-20,27.044,27.044,27.044,27.044,1112009
1994-01-24,26.487,26.487,26.487,26.487,604843
1994-01-25,27.184,27.184,27.184,27.184,577379
1994-01-27,29.929,29.929,29.929,29.929,1234752
1994-01-31,26.902,26.902,26.902,26.902,692002
1994-02-01,24.309,24.309,24.309,24.309
1994-02-03,21.916,21.916,21.916,21.916,1311188
1994-02-07,24.094,24.094,24.094,24.094,671410
1994-02-08,25.715,25.715,25.715,25.715,628766
1994-02-10,25.148,25.148,25.148,25.148,419252
1994-02-14,25.715,25.715,25.715,25.715,428282
1994-02-15,26.836,26.836,26.836,26.836,337994
1994-02-17,27.184,27.184,27.184,27.184,479238
1994-02-21,27.044,27.044,27.044,27.044,377628
1994-02-22,25.855,25.855,25.855,25.855,243475
1994-02-24,27.184,27.184,27.184,27.184,651593
1994-02-28,27.89,27.89,27.89,27.89,320323
1994-03-01,27.89,27.89,27.89,27.89,277737
1994-03-03,27.184,27.184,27.184,27.184,366812
1994-03-07,27.184,27.184,27.184,27.184,367731
1994-03-08,27.184,27.184,27.184,27.184,289637
1994-03-10,27.402,27.402,27.402,27.402,411261
1994-03-14,27.676,27.676,27.676,27.676,356222
1994-03-15,27.184,27.184,27.184,27.184,243872
1994-03-17,26.487,26.487,26.487,26.487,321002
1994-03-21,23.811,23.811,23.811,23.811,215641
1994-03-22,21.708,21.708,21.708,21.708,269956
1994-03-24,23.811,23.811,23.811,23.811,613249
1994-03-28,21.916,21.916,21.916,21.916,331203
1994-03-29,19.672,19.672,19.672,19.672,119580
1994-03-31,17.776,17.776,17.776,17.776,621118
1994-04-05,17.843,17.843,17.843,17.843,319926
1994-04-07,18.334,18.334,18.334,18.334,369667
1994-04-08,17.42,17.42,17.42,17.42,329614
1994-04-11,15.734,15.734,15.734,15.734
1994-04-12,14.187,14.187,14.187,14.187,272656
1994-04-14,14.187,14.187,14.187,14.187,170877
1994-04-18,15.101,15.101,15.101,15.101,207291
1994-04-19,16.579,16.579,16.579,16.579,362338
1994-04-21,19.955,19.955,19.955,19.955,263737
1994-04-25,19.597,19.597,19.597,19.597,216911
1994-04-26,17.702,17.702,17.702,17.702
1994-04-28,15.948,15.948,15.948,15.948,188332
1994-05-05,17.494,17.494,17.494,17.494,150136
1994-05-06,15.734,15.734,15.734,15.734,306395
1994-05-09,15.734,15.734,15.734,15.734,235517
1994-05-10,16.09,16.09,16.09,16.09,184868
1994-05-12,16.579,16.579,16.579,16.579,310313
1994-05-16,18.334,18.334,18.334,18.334,221999
1994-05-17,17.984,17.984,17.984,17.984,201680
1994-05-19,19.672,19.672,19.672,19.672,336625
1994-05-23,20.727,20.727,20.727,20.727,248603
1994-05-24,21.143,21.143,21.143,21.143,366967
1994-05-26,21.001,21.001,21.001,21.001,304057
1994-05-30,21.143,21.143,21.143,21.143,269415
1994-05-31,21.001,21.001,21.001,21.001,256927
1994-06-01,19.041,19.041,19.041,19.041,259973
1994-06-06,19.041,19.041,19.041,19.041,193742
1994-06-07,17.702,17.702,17.702,17.702,189481
1994-06-09,15.948,15.948,15.948,15.948,165428
1994-06-13,14.403,14.403,14.403,14.403
1994-06-14,12.924,12.924,12.924,12.924,348549
1994-06-16,14.187,14.187,14.187,14.187,356690
1994-06-20,12.855,12.855,12.855,12.855,218974
1994-06-21,12.083,12.083,12.083,12.083,238802
1994-06-23,12.083,12.083,12.083,12.083,358429
1994-06-27,13.28,13.28,13.28,13.28,227376
1994-06-28,13.168,13.168,13.168,13.168,93189
1994-06-30,12.855,12.855,12.855,12.855,178639
1994-07-04,13.526,13.526,13.526,13.526,114581
1994-07-05,14.403,14.403,14.403,14.403,110217
1994-07-06,15.734,15.734,15.734,15.734,193864
1994-07-07,15.874,15.874,15.874,15.874,197613
1994-07-11,16.579,16.579,16.579,16.579,252095
1994-07-12,18.334,18.334,18.334,18.334,233867
1994-07-13,19.041,19.041,19.041,19.041,328778
1994-07-14,17.843,17.843,17.843,17.843,226253
1994-07-18,19.597,19.597,19.597,19.597,254449
1994-07-19,20.304,20.304,20.304,20.304,325720
1994-07-20,18.334,18.334,18.334,18.334,366106
1994-07-21,18.684,18.684,18.684,18.684,182715
1994-07-25,18.684,18.684,18.684,18.684
1994-07-26,19.531,19.531,19.531,19.531,343296
1994-07-27,19.531,19.531,19.531,19.531,196644
1994-07-28,19.531,19.531,19.531,19.531,227245
1994-08-01,19.39,19.39,19.39,19.39,114368
1994-08-02,19.041,19.041,19.041,19.041,78336
1994-08-03,19.322,19.322,19.322,19.322,179007
1994-08-04,19.597,19.597,19.597,19.597,234919
1994-08-08,19.597,19.597,19.597,19.597,141480
1994-08-09,19.531,19.531,19.531,19.531,146363
1994-08-10,19.248,19.248,19.248,19.248,128037
1994-08-11,18.899,18.899,18.899,18.899,120361
1994-08-16,19.597,19.597,19.597,19.597,131204
1994-08-17,20.86,20.86,20.86,20.86,201009
1994-08-18,20.86,20.86,20.86,20.86,191669
1994-08-22,21.143,21.143,21.143,21.143,210325
1994-08-23,23.254,23.254,23.254,23.254,449112
1994-08-24,22.622,22.622,22.622,22.622,228031
1994-08-25,21.143,21.143,21.143,21.143,163451
1994-08-29,21.425,21.425,21.425,21.425,181490
1994-08-30,21.143,21.143,21.143,21.143,159974
1994-08-31,20.304,20.304,20.304,20.304,94510
1994-09-01,19.597,19.597,19.597,19.597,134751
1994-09-05,17.702,17.702,17.702,17.702,264899
1994-09-06,15.948,15.948,15.948,15.948,225427
1994-09-07,16.297,16.297,16.297,16.297,188476
1994-09-08,17.494,17.494,17.494,17.494,166405
1994-09-12,17.494,17.494,17.494,17.494,155615
1994-09-13,15.807,15.807,15.807,15.807,275543
1994-09-14,15.457,15.457,15.457,15.457,219151
1994-09-15,15.317,15.317,15.317,15.317,164887
1994-09-19,14.752,14.752,14.752,14.752,266247
1994-09-20,14.261,14.261,14.261,14.261,229690
1994-09-21,12.924,12.924,12.924,12.924,259387
1994-09-22,13.414,13.414,13.414,13.414,122423
1994-09-26,12.784,12.784,12.784,12.784,107233
1994-09-27,12.083,12.083,12.083,12.083,99213
1994-09-28,12.784,12.784,12.784,12.784,235572
1994-09-29,13.772,13.772,13.772,13.772,134920
1994-10-03,14.403,14.403,14.403,14.403,193825
1994-10-04,14.47,14.47,14.47,14.47,146227
1994-10-05,15.101,15.101,15.101,15.101,132743
1994-10-06,15.101,15.101,15.101,15.101,147940
1994-10-07,15.101,15.101,15.101,15.101,105056
1994-10-10,14.612,14.612,14.612,14.612,86826
1994-10-11,13.876,13.876,13.876,13.876,122858
1994-10-12,13.876,13.876,13.876,13.876,97678
1994-10-13,13.28,13.28,13.28,13.28,70850
1994-10-14,13.876,13.876,13.876,13.876,127323
1994-10-17,14.017,14.017,14.017,14.017,50901
1994-10-18,14.017,14.017,14.017,14.017,61765
1994-10-19,14.12,14.12,14.12,14.12,77348
1994-10-20,13.876,13.876,13.876,13.876,70028
1994-10-21,13.168,13.168,13.168,13.168,73074
1994-10-24,12.575,12.575,12.575,12.575,84158
1994-10-25,12.678,12.678,12.678,12.678,130362
1994-10-26,12.187,12.187,12.187,12.187,115974
1994-10-27,11.489,11.489,11.489,11.489,97395
1994-10-28,10.99,10.99,10.99,10.99,82758
1994-11-02,12.083,12.083,12.083,12.083,121908
1994-11-03,12.678,12.678,12.678,12.678,162847
1994-11-04,11.736,11.736,11.736,11.736,101291
1994-11-07,9.803,9.803,9.803,9.803,119098
1994-11-08,9.803,9.803,9.803,9.803,63749
1994-11-09,8.9253,8.9253,8.9253,8.9253,52764
