Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-06-30,4.1504,4.1585,4.0511,4.0841,110496203
2010-07-01,4.0498,4.0984,4.0094,4.0822,23771324
2010-07-02,4.0902,4.1145,4.0822,4.0902,6473630
2010-07-05,4.0902,4.1065,4.0822,4.0822,5369253
2010-07-06,4.0902,4.1145,4.0902,4.0984,4900777
2010-07-07,4.0902,4.0984,4.074,4.0822,6544389
2010-07-08,4.0822,4.1225,4.0822,4.1225,10579291
2010-07-09,4.1225,4.1468,4.1225,4.1468,10750936
2010-07-12,4.1468,4.2035,4.1388,4.1954,29227667
2010-07-13,4.2035,4.2196,4.1388,4.1388,75198568
2010-07-14,4.1468,4.1549,4.0984,4.1145,8783041
2010-07-15,4.1145,4.1145,4.0984,4.1065,9597357
2010-07-16,4.1145,4.1388,4.0822,4.0984,10106615
2010-07-19,4.0902,4.1065,4.074,4.0984,3154512
2010-07-20,4.0902,4.0902,4.074,4.074,2895243
2010-07-21,4.074,4.0984,4.066,4.0902,4566270
2010-07-22,4.0822,4.1468,4.0822,4.1388,22643247
2010-07-23,4.1388,4.1468,4.1225,4.1468,6436199
2010-07-26,4.1307,4.1307,4.0902,4.1065,3536329
2010-07-27,4.1225,4.1388,4.1065,4.1388,6447704
2010-07-28,4.1145,4.1225,4.1065,4.1145,3038657
2010-07-29,4.1065,4.1388,4.1065,4.1388,2142862
2010-07-30,4.1225,4.1468,4.1065,4.1388,3696169
2010-08-02,4.1225,4.1468,4.1145,4.1388,2571961
2010-08-03,4.1307,4.1468,4.1225,4.1307,2859387
2010-08-04,4.1225,4.1307,4.1065,4.1307,3532270
2010-08-05,4.1145,4.1388,4.1145,4.1225,5278834
2010-08-06,4.1065,4.1388,4.1065,4.1307,3165988
2010-08-09,4.1145,4.1388,4.1065,4.1307,7140119
2010-08-10,4.1065,4.1388,4.1065,4.1307,6490067
2010-08-11,4.1145,4.1225,4.1065,4.1225,1605394
2010-08-12,4.1065,4.1468,4.0984,4.1468,2580595
2010-08-13,4.1225,4.1225,4.1065,4.1225,1524254
2010-08-16,4.1065,4.163,4.0984,4.163,5228673
2010-08-17,4.1549,4.1954,4.1225,4.1549,8093584
2010-08-18,4.1388,4.163,4.1225,4.163,2393845
2010-08-19,4.1388,4.1549,4.1307,4.1468,1315795
2010-08-20,4.1388,4.163,4.1388,4.1549,1727039
2010-08-23,4.1549,4.349,4.1468,4.3085,24983083
2010-08-24,4.3166,4.349,4.2763,4.3004,7682345
2010-08-25,4.2843,4.3004,4.2843,4.3004,2833138
2010-08-26,4.2924,4.3004,4.2276,4.2763,3909591
2010-08-27,4.2358,4.2924,4.2358,4.2843,3332364
2010-08-30,4.2843,4.3408,4.2843,4.3328,4922617
2010-08-31,4.3085,4.3408,4.2601,4.3408,3877103
2010-09-01,4.3085,4.3328,4.3085,4.3247,5520234
2010-09-02,4.3247,4.4056,4.3247,4.4056,13339842
2010-09-03,4.3974,4.4863,4.3813,4.4622,7214971
2010-09-06,4.4622,4.5915,4.446,4.5348,9028147
2010-09-07,4.5511,4.5833,4.4622,4.4783,2706986
2010-09-08,4.4622,4.5672,4.4622,4.5672,3465319
